Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23-24,Anthony,Edwards,SG,22,MIN,21,21,705,178,398,0.447,52,132,0.394,126,266,0.474,0.513,101,119,0.849,15,96,111,107,28,9,67,40,509
23-24,Kessler,Edwards,SF,23,SAC,19,0,105,9,24,0.375,5,15,0.333,4,9,0.444,0.479,1,2,0.5,3,12,15,5,2,2,1,9,24
23-24,Keon,Ellis,SG,24,SAC,17,3,228,24,53,0.453,16,44,0.364,8,9,0.889,0.604,10,15,0.667,6,20,26,23,10,6,13,23,74
23-24,Joel,Embiid,C,29,PHI,22,22,746,251,470,0.534,24,71,0.338,227,399,0.569,0.56,226,254,0.89,66,191,257,132,25,42,84,60,752
23-24,Drew,Eubanks,C,26,PHO,25,0,427,66,110,0.6,2,2,1,64,108,0.593,0.609,30,35,0.857,34,74,108,30,7,26,30,47,164
23-24,Dante,Exum,PG,28,DAL,22,6,355,70,125,0.56,18,42,0.429,52,83,0.627,0.632,21,30,0.7,13,49,62,54,11,4,14,30,179
23-24,Bruno,Fernando,C,25,ATL,7,0,33,8,16,0.5,0,1,0,8,15,0.533,0.5,4,6,0.667,5,7,12,1,0,1,4,5,20
23-24,Dorian,Finney-Smith,PF,30,BRK,23,17,688,91,192,0.474,56,127,0.441,35,65,0.538,0.62,4,6,0.667,48,72,120,28,15,15,21,50,242
23-24,Malachi,Flynn,PG,25,TOR,25,0,408,49,113,0.434,23,65,0.354,26,48,0.542,0.535,17,22,0.773,10,42,52,61,15,5,27,37,138
23-24,Simone,Fontecchio,SF,28,UTA,24,11,480,73,162,0.451,44,111,0.396,29,51,0.569,0.586,20,23,0.87,19,45,64,27,10,12,23,35,210
23-24,Jordan,Ford,PG,25,SAC,6,0,22,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,2,1,0,2,2,2,0,0,1,0,12
23-24,Trent,Forrest,SG,25,ATL,7,0,61,3,15,0.2,0,1,0,3,14,0.214,0.2,4,4,1,4,4,8,12,2,0,3,5,10
23-24,Evan,Fournier,SG,31,NYK,1,0,16,1,6,0.167,0,4,0,1,2,0.5,0.167,0,0,,0,1,1,1,1,0,0,2,2
23-24,De'Aaron,Fox,PG,26,SAC,18,18,639,190,400,0.475,58,150,0.387,132,250,0.528,0.548,104,142,0.732,16,63,79,115,25,5,46,50,542
23-24,Alex,Fudge,SF,20,LAL,4,0,14,1,6,0.167,0,2,0,1,4,0.25,0.167,2,2,1,2,0,2,0,0,0,1,1,4
23-24,Markelle,Fultz,PG,25,ORL,5,5,143,27,56,0.482,0,3,0,27,53,0.509,0.482,3,4,0.75,8,9,17,20,6,2,6,6,57
23-24,Daniel,Gafford,C,25,WAS,22,22,559,98,141,0.695,0,0,,98,141,0.695,0.695,40,58,0.69,63,108,171,40,13,46,25,76,236
23-24,Danilo,Gallinari,PF,35,WAS,23,0,352,54,121,0.446,18,58,0.31,36,63,0.571,0.521,42,49,0.857,11,59,70,30,6,3,11,24,168
23-24,Darius,Garland,PG,24,CLE,20,20,680,151,321,0.47,36,104,0.346,115,217,0.53,0.526,76,91,0.835,12,43,55,118,32,4,76,31,414
23-24,Luka,Garza,C,25,MIN,5,0,16,4,11,0.364,0,2,0,4,9,0.444,0.364,5,8,0.625,3,3,6,1,0,0,1,4,13
23-24,Kaiser,Gates,SF,27,NOP,1,0,7,0,4,0,0,2,0,0,2,0,0,0,0,,0,1,1,0,0,0,0,0,0
23-24,Keyonte,George,PG,20,UTA,24,16,618,83,230,0.361,39,122,0.32,44,108,0.407,0.446,57,73,0.781,12,60,72,120,12,3,55,26,262
23-24,Paul,George,PF,33,LAC,24,24,840,190,420,0.452,75,193,0.389,115,227,0.507,0.542,90,97,0.928,16,124,140,100,42,6,55,68,545
23-24,Taj,Gibson,PF,38,NYK,2,0,8,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,1,0,1,0,1,0,0,0,2
23-24,Josh,Giddey,SG,21,OKC,24,24,617,119,279,0.427,20,60,0.333,99,219,0.452,0.462,21,27,0.778,38,104,142,105,21,11,60,34,279
23-24,Harry,Giles,C,25,BRK,5,0,36,14,23,0.609,1,5,0.2,13,18,0.722,0.63,5,7,0.714,5,5,10,1,1,1,1,4,34
23-24,Shai,Gilgeous-Alexander,PG,25,OKC,23,23,804,258,476,0.542,24,74,0.324,234,402,0.582,0.567,167,183,0.913,21,106,127,148,62,18,47,56,707
23-24,Anthony,Gill,PF,31,WAS,16,0,96,13,28,0.464,0,5,0,13,23,0.565,0.464,11,14,0.786,8,14,22,7,3,4,9,10,37
23-24,Collin,Gillespie,PG,24,DEN,10,0,81,8,19,0.421,3,12,0.25,5,7,0.714,0.5,1,1,1,0,3,3,8,5,0,4,9,20
23-24,Jacob,Gilyard,PG,25,MEM,18,7,265,20,49,0.408,17,43,0.395,3,6,0.5,0.582,1,1,1,6,13,19,51,10,1,10,17,58
23-24,Rudy,Gobert,C,31,MIN,24,24,769,116,188,0.617,0,0,,116,188,0.617,0.617,73,120,0.608,89,199,288,29,16,57,39,69,305
23-24,Jordan,Goodwin,PG,25,PHO,26,0,476,62,158,0.392,23,73,0.315,39,85,0.459,0.465,20,23,0.87,29,73,102,70,18,7,24,36,167
23-24,Aaron,Gordon,PF,28,DEN,23,23,746,125,250,0.5,10,44,0.227,115,206,0.558,0.52,39,70,0.557,67,98,165,83,23,16,35,40,299
23-24,Eric,Gordon,SG,35,PHO,22,16,703,119,255,0.467,59,149,0.396,60,106,0.566,0.582,15,19,0.789,7,37,44,61,23,12,34,32,312
23-24,Devonte',Graham,PG,28,SAS,5,0,52,4,12,0.333,2,8,0.25,2,4,0.5,0.417,5,7,0.714,1,2,3,16,2,1,2,3,15
23-24,Jerami,Grant,PF,29,POR,21,21,744,162,357,0.454,53,132,0.402,109,225,0.484,0.528,100,120,0.833,15,70,85,49,17,17,50,48,477
23-24,A.J.,Green,SG,24,MIL,18,0,145,21,47,0.447,18,41,0.439,3,6,0.5,0.638,1,1,1,3,12,15,13,0,0,0,15,61
23-24,Danny,Green,SG,36,PHI,2,0,18,0,2,0,0,1,0,0,1,0,0,0,0,,0,2,2,1,1,0,0,1,0
23-24,Draymond,Green,PF,33,GSW,15,15,377,51,104,0.49,18,42,0.429,33,62,0.532,0.577,25,30,0.833,22,61,83,87,6,11,36,45,145
23-24,Jalen,Green,SG,21,HOU,23,23,708,136,331,0.411,46,138,0.333,90,193,0.466,0.48,90,112,0.804,8,93,101,74,10,8,52,34,408
23-24,Jeff,Green,PF,37,HOU,22,0,342,46,85,0.541,9,26,0.346,37,59,0.627,0.594,54,65,0.831,19,32,51,14,4,9,14,28,155
23-24,Josh,Green,SG,23,DAL,18,5,454,46,109,0.422,23,63,0.365,23,46,0.5,0.528,9,17,0.529,10,42,52,43,17,3,17,31,124
23-24,AJ,Griffin,SF,20,ATL,12,0,110,10,34,0.294,8,25,0.32,2,9,0.222,0.412,2,2,1,2,10,12,4,1,0,4,6,30
23-24,Quentin,Grimes,SG,23,NYK,23,18,512,56,143,0.392,42,112,0.375,14,31,0.452,0.538,2,5,0.4,6,26,32,26,15,0,12,40,156
23-24,Mouhamed,Gueye,PF,21,ATL,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,1,0,0,1,0
23-24,Rui,Hachimura,PF,25,LAL,17,2,409,77,155,0.497,19,51,0.373,58,104,0.558,0.558,27,35,0.771,12,52,64,22,12,5,16,28,200
23-24,Tyrese,Haliburton,PG,23,IND,21,21,711,189,367,0.515,77,177,0.435,112,190,0.589,0.62,85,97,0.876,15,72,87,251,19,14,54,24,540
23-24,R.J.,Hampton,PG,22,MIA,2,0,11,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,2,2,0,0,0,1,1,3
23-24,Tim,Hardaway,SF,31,DAL,22,0,631,131,314,0.417,76,204,0.373,55,110,0.5,0.538,51,58,0.879,8,70,78,33,6,0,18,24,389
23-24,James,Harden,SG,34,LAC,20,20,674,94,204,0.461,47,114,0.412,47,90,0.522,0.576,90,104,0.865,7,87,94,150,30,16,46,42,325
23-24,Jaden,Hardy,SG,21,DAL,21,0,262,50,126,0.397,19,57,0.333,31,69,0.449,0.472,18,27,0.667,8,28,36,29,6,0,16,22,137
23-24,Ron,Harper,PF,23,TOR,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0
23-24,Gary,Harris,SG,29,ORL,20,3,434,48,112,0.429,27,80,0.338,21,32,0.656,0.549,19,24,0.792,9,26,35,35,17,5,9,31,142
23-24,Joe,Harris,SG,32,DET,10,0,119,10,30,0.333,7,23,0.304,3,7,0.429,0.45,0,0,,2,6,8,7,2,1,3,14,27
23-24,Tobias,Harris,PF,31,PHI,25,25,842,157,303,0.518,26,77,0.338,131,226,0.58,0.561,80,89,0.899,25,127,152,67,24,9,43,40,420
23-24,Shaquille,Harrison,SG,30,MEM,3,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,0,0,2
23-24,Josh,Hart,SF,28,NYK,25,5,695,78,167,0.467,26,72,0.361,52,95,0.547,0.545,12,17,0.706,27,113,140,70,24,6,22,48,194
23-24,Isaiah,Hartenstein,C,25,NYK,25,0,486,59,100,0.59,1,3,0.333,58,97,0.598,0.595,30,45,0.667,69,80,149,32,21,22,24,70,149
23-24,Sam,Hauser,SF,26,BOS,25,2,565,80,169,0.473,66,147,0.449,14,22,0.636,0.669,8,10,0.8,23,64,87,24,15,8,14,36,234
23-24,Jordan,Hawkins,SG,21,NOP,26,9,632,93,244,0.381,57,160,0.356,36,84,0.429,0.498,40,46,0.87,17,68,85,39,10,0,22,44,283
23-24,Jaxson,Hayes,C,23,LAL,23,1,262,30,46,0.652,0,4,0,30,42,0.714,0.652,14,25,0.56,13,33,46,8,6,10,15,49,74
23-24,Killian,Hayes,PG,22,DET,25,21,660,91,214,0.425,18,59,0.305,73,155,0.471,0.467,28,40,0.7,9,68,77,110,26,15,27,48,228
23-24,Gordon,Hayward,SF,33,CHO,22,22,719,129,277,0.466,21,58,0.362,108,219,0.493,0.504,56,73,0.767,24,84,108,104,26,10,44,42,335
23-24,Scoot,Henderson,PG,19,POR,16,5,417,69,184,0.375,16,66,0.242,53,118,0.449,0.418,26,34,0.765,12,30,42,69,8,4,50,61,180
23-24,Taylor,Hendricks,PF,20,UTA,8,0,149,18,46,0.391,9,27,0.333,9,19,0.474,0.489,6,8,0.75,8,13,21,4,8,5,6,10,51
23-24,Tyler,Herro,SG,24,MIA,8,8,272,68,152,0.447,25,61,0.41,43,91,0.473,0.53,22,25,0.88,3,37,40,37,11,0,20,13,183
23-24,Buddy,Hield,SF,31,IND,24,12,612,112,256,0.438,65,174,0.374,47,82,0.573,0.564,11,13,0.846,17,58,75,62,20,15,36,45,300
23-24,Haywood,Highsmith,PF,27,MIA,16,14,348,36,84,0.429,16,50,0.32,20,34,0.588,0.524,11,14,0.786,10,32,42,24,17,11,15,34,99
23-24,Nate,Hinton,SG,24,HOU,4,0,16,3,6,0.5,3,3,1,0,3,0,0.75,0,0,,1,2,3,0,0,0,0,2,9
23-24,D'Moi,Hodge,SG,25,LAL,7,0,41,5,15,0.333,3,12,0.25,2,3,0.667,0.433,1,2,0.5,0,0,0,5,1,1,1,4,14
23-24,Aaron,Holiday,PG,27,HOU,21,1,377,53,117,0.453,26,60,0.433,27,57,0.474,0.564,11,13,0.846,6,33,39,40,11,3,11,39,143
23-24,Jrue,Holiday,PG,33,BOS,23,23,793,109,245,0.445,40,102,0.392,69,143,0.483,0.527,24,29,0.828,38,114,152,106,19,21,46,40,282
23-24,Justin,Holiday,SG,34,DEN,16,6,255,29,53,0.547,18,38,0.474,11,15,0.733,0.717,0,0,,4,20,24,20,11,0,5,21,76
23-24,Richaun,Holmes,C,30,DAL,13,1,133,14,28,0.5,0,0,,14,28,0.5,0.5,7,15,0.467,18,28,46,7,1,6,9,20,35
23-24,Chet,Holmgren,C,21,OKC,24,24,718,145,278,0.522,36,98,0.367,109,180,0.606,0.586,80,92,0.87,41,153,194,57,20,64,46,69,406
23-24,Jalen,Hood-Schifino,SG,20,LAL,5,0,52,4,18,0.222,1,8,0.125,3,10,0.3,0.25,5,10,0.5,1,5,6,4,0,1,4,7,14
23-24,Al,Horford,C,37,BOS,22,8,574,63,128,0.492,29,78,0.372,34,50,0.68,0.605,8,8,1,37,115,152,59,10,21,20,37,163
23-24,Talen,Horton-Tucker,PG,23,UTA,26,9,580,102,254,0.402,32,101,0.317,70,153,0.458,0.465,36,45,0.8,12,59,71,109,27,11,49,56,272
23-24,Danuel,House,SF,30,PHI,14,0,163,20,46,0.435,10,26,0.385,10,20,0.5,0.543,11,14,0.786,7,13,20,14,5,1,9,12,61
23-24,Caleb,Houstan,SF,21,ORL,16,0,158,17,38,0.447,14,34,0.412,3,4,0.75,0.632,7,7,1,6,19,25,7,2,0,3,13,55
23-24,Jett,Howard,SF,20,ORL,8,0,34,4,15,0.267,2,11,0.182,2,4,0.5,0.333,1,2,0.5,1,3,4,3,0,0,2,1,11
23-24,Kevin,Huerter,SG,25,SAC,23,23,597,96,224,0.429,51,140,0.364,45,84,0.536,0.542,15,19,0.789,15,83,98,66,18,7,17,54,258
23-24,Jay,Huff,C,25,DEN,2,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2
23-24,De'Andre,Hunter,SF,26,ATL,22,22,669,110,240,0.458,40,104,0.385,70,136,0.515,0.542,68,75,0.907,14,77,91,28,19,7,33,66,328
23-24,Bones,Hyland,PG,23,LAC,13,2,210,39,96,0.406,19,52,0.365,20,44,0.455,0.505,9,10,0.9,2,13,15,25,7,0,19,22,106
23-24,Joe,Ingles,SF,36,ORL,24,0,437,38,94,0.404,24,59,0.407,14,35,0.4,0.532,17,19,0.895,11,55,66,82,18,3,20,37,117
23-24,Brandon,Ingram,SF,26,NOP,24,24,802,212,427,0.496,33,102,0.324,179,325,0.551,0.535,97,121,0.802,13,102,115,127,16,5,67,50,554
23-24,Kyrie,Irving,SG,31,DAL,17,17,541,146,310,0.471,43,112,0.384,103,198,0.52,0.54,56,62,0.903,10,57,67,88,20,5,23,31,391
23-24,Jonathan,Isaac,PF,26,ORL,18,0,247,40,89,0.449,12,44,0.273,28,45,0.622,0.517,25,31,0.806,20,57,77,5,16,20,10,22,117
23-24,Jaden,Ivey,SG,21,DET,22,6,525,89,198,0.449,20,70,0.286,69,128,0.539,0.5,54,68,0.794,16,45,61,58,16,10,42,54,252
23-24,Andre,Jackson,SG,22,MIL,20,5,206,23,38,0.605,9,20,0.45,14,18,0.778,0.724,0,0,,16,20,36,18,5,0,10,38,55
23-24,Gregory,Jackson,PF,19,MEM,3,0,7,0,4,0,0,2,0,0,2,0,0,0,0,,1,2,3,0,1,0,1,0,0
23-24,Isaiah,Jackson,C,22,IND,16,0,226,48,70,0.686,0,1,0,48,69,0.696,0.686,20,28,0.714,26,49,75,16,10,24,9,48,116
23-24,Jaren,Jackson,C,24,MEM,24,24,763,180,406,0.443,40,127,0.315,140,279,0.502,0.493,124,148,0.838,37,100,137,43,18,45,45,86,524
23-24,Reggie,Jackson,PG,33,DEN,27,14,704,143,295,0.485,47,115,0.409,96,180,0.533,0.564,28,39,0.718,10,51,61,123,19,7,42,56,361
23-24,Trayce,Jackson-Davis,PF,23,GSW,16,0,132,20,35,0.571,0,0,,20,35,0.571,0.571,17,27,0.63,19,15,34,9,5,9,8,21,57
23-24,LeBron,James,PF,39,LAL,24,24,810,225,413,0.545,55,137,0.401,170,276,0.616,0.611,100,140,0.714,23,157,180,169,37,16,81,27,605
23-24,Jaime,Jaquez,SF,22,MIA,26,4,727,135,261,0.517,31,79,0.392,104,182,0.571,0.577,42,49,0.857,27,68,95,73,25,5,42,62,343
23-24,DaQuan,Jeffries,SG,26,NYK,9,0,27,3,9,0.333,1,5,0.2,2,4,0.5,0.389,0,2,0,0,5,5,2,0,0,1,1,7
23-24,Ty,Jerome,SG,26,CLE,2,0,15,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4
23-24,Isaiah,Joe,SG,24,OKC,24,0,490,76,173,0.439,58,136,0.426,18,37,0.486,0.607,27,32,0.844,2,51,53,26,20,8,13,28,237
23-24,Cameron,Johnson,PF,27,BRK,18,18,522,96,211,0.455,44,113,0.389,52,98,0.531,0.559,22,27,0.815,29,67,96,49,14,3,21,33,258
23-24,Jalen,Johnson,SF,22,ATL,15,12,449,85,143,0.594,17,40,0.425,68,103,0.66,0.654,25,33,0.758,20,89,109,36,17,15,30,33,212
23-24,James,Johnson,PF,36,IND,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0
23-24,Keldon,Johnson,SF,24,SAS,24,24,792,151,325,0.465,49,136,0.36,102,189,0.54,0.54,58,75,0.773,30,121,151,101,24,7,38,59,409
23-24,Keyontae,Johnson,SF,23,OKC,1,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
23-24,Nikola,Joki?,C,28,DEN,26,26,872,272,503,0.541,30,97,0.309,242,406,0.596,0.571,129,164,0.787,87,236,323,248,31,20,70,67,703
23-24,Colby,Jones,SG,21,SAC,10,0,71,13,28,0.464,1,8,0.125,12,20,0.6,0.482,2,3,0.667,6,8,14,2,2,1,4,10,29
23-24,Damian,Jones,C,28,CLE,11,0,54,4,8,0.5,0,0,,4,8,0.5,0.5,1,2,0.5,4,7,11,3,1,2,4,4,9
23-24,Derrick,Jones,SF,26,DAL,24,23,578,86,178,0.483,39,105,0.371,47,73,0.644,0.593,28,38,0.737,27,61,88,25,18,20,21,39,239
23-24,Herbert,Jones,SF,25,NOP,24,24,721,92,189,0.487,26,79,0.329,66,110,0.6,0.556,62,72,0.861,30,72,102,66,40,27,35,81,272
23-24,Tre,Jones,PG,24,SAS,21,0,492,61,139,0.439,12,45,0.267,49,94,0.521,0.482,27,32,0.844,10,45,55,106,16,4,27,26,161
23-24,Tyus,Jones,PG,27,WAS,25,25,683,123,237,0.519,31,83,0.373,92,154,0.597,0.584,13,17,0.765,6,71,77,133,30,8,20,20,290
23-24,DeAndre,Jordan,C,35,DEN,11,1,153,22,38,0.579,0,0,,22,38,0.579,0.579,11,31,0.355,21,36,57,12,4,5,11,20,55
23-24,Cory,Joseph,PG,32,GSW,11,0,121,7,28,0.25,4,19,0.211,3,9,0.333,0.321,4,7,0.571,2,8,10,24,3,1,5,10,22
23-24,Nikola,Jovi?,PF,20,MIA,4,1,48,4,12,0.333,3,7,0.429,1,5,0.2,0.458,3,4,0.75,1,22,23,9,1,0,5,9,14
23-24,Johnny,Juzang,SG,22,UTA,1,0,4,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0
23-24,Luke,Kennard,SG,27,MEM,8,0,172,21,58,0.362,17,46,0.37,4,12,0.333,0.509,7,7,1,3,20,23,16,5,1,5,4,66
23-24,Walker,Kessler,C,22,UTA,18,10,444,69,122,0.566,2,12,0.167,67,110,0.609,0.574,14,26,0.538,56,89,145,18,7,48,23,39,154
23-24,Braxton,Key,SF,26,DEN,6,0,15,1,5,0.2,0,2,0,1,3,0.333,0.2,1,2,0.5,0,3,3,5,0,0,0,3,3
23-24,Corey,Kispert,SF,24,WAS,24,1,555,92,202,0.455,49,129,0.38,43,73,0.589,0.577,36,48,0.75,10,47,57,35,10,4,23,45,269
23-24,Maxi,Kleber,C,32,DAL,5,1,90,4,16,0.25,3,9,0.333,1,7,0.143,0.344,6,10,0.6,4,17,21,10,1,1,4,8,17
23-24,Kevin,Knox,SF,24,DET,10,2,150,23,48,0.479,10,26,0.385,13,22,0.591,0.583,4,5,0.8,5,19,24,5,5,2,9,14,60
23-24,John,Konchar,SF,27,MEM,19,2,335,23,63,0.365,13,39,0.333,10,24,0.417,0.468,4,6,0.667,20,55,75,27,14,13,8,19,63
23-24,Furkan,Korkmaz,SG,26,PHI,18,0,129,12,34,0.353,5,19,0.263,7,15,0.467,0.426,7,9,0.778,1,8,9,10,10,0,7,9,36
23-24,Luke,Kornet,C,28,BOS,17,0,220,32,43,0.744,0,0,,32,43,0.744,0.744,10,12,0.833,25,31,56,10,8,13,6,19,74
23-24,Jonathan,Kuminga,PF,21,GSW,25,4,514,110,227,0.485,19,59,0.322,91,168,0.542,0.526,60,91,0.659,26,63,89,23,15,8,33,63,299
23-24,Kyle,Kuzma,PF,28,WAS,25,25,779,226,481,0.47,59,164,0.36,167,317,0.527,0.531,66,87,0.759,22,127,149,108,8,16,60,53,577
23-24,Jock,Landale,C,28,HOU,15,0,131,10,28,0.357,2,10,0.2,8,18,0.444,0.393,4,4,1,12,15,27,8,4,3,8,12,26
23-24,Jake,LaRavia,PF,22,MEM,7,0,87,10,28,0.357,2,16,0.125,8,12,0.667,0.393,1,2,0.5,3,5,8,5,1,0,4,15,23
23-24,Zach,LaVine,SG,28,CHI,18,18,635,132,298,0.443,43,128,0.336,89,170,0.524,0.515,71,82,0.866,6,82,88,61,17,4,36,37,378
23-24,A.J.,Lawson,SG,23,DAL,8,0,53,10,24,0.417,3,14,0.214,7,10,0.7,0.479,2,4,0.5,2,2,4,3,0,1,1,2,25
23-24,Saben,Lee,PG,24,PHO,4,0,11,4,7,0.571,0,1,0,4,6,0.667,0.571,2,2,1,2,1,3,3,0,1,0,1,10
23-24,Alex,Len,C,30,SAC,6,0,41,6,8,0.75,0,1,0,6,7,0.857,0.75,3,7,0.429,7,9,16,5,1,5,2,2,15
23-24,Kawhi,Leonard,SF,32,LAC,25,25,868,220,428,0.514,60,136,0.441,160,292,0.548,0.584,100,115,0.87,25,123,148,89,39,17,37,38,600
23-24,Caris,LeVert,SG,29,CLE,19,1,568,107,255,0.42,32,101,0.317,75,154,0.487,0.482,43,58,0.741,10,59,69,66,20,9,28,33,289
23-24,Kira,Lewis,PG,22,NOP,13,0,131,15,47,0.319,2,17,0.118,13,30,0.433,0.34,8,9,0.889,3,8,11,18,5,1,6,8,40
23-24,Maxwell,Lewis,SF,21,LAL,11,0,52,1,9,0.111,1,3,0.333,0,6,0,0.167,0,0,,1,2,3,3,2,0,5,2,3
23-24,E.J.,Liddell,PF,23,NOP,3,0,9,1,4,0.25,0,3,0,1,1,1,0.25,2,2,1,0,2,2,0,0,1,1,1,4
23-24,Damian,Lillard,PG,33,MIL,24,24,849,178,413,0.431,75,207,0.362,103,206,0.5,0.522,187,204,0.917,14,95,109,170,25,6,67,40,618
23-24,Nassir,Little,PF,23,PHO,19,1,305,37,75,0.493,15,43,0.349,22,32,0.688,0.593,14,16,0.875,14,38,52,16,9,8,9,25,103
23-24,Dereck,Lively,C,19,DAL,23,22,582,94,128,0.734,0,2,0,94,126,0.746,0.734,17,29,0.586,66,112,178,26,15,36,28,70,205
23-24,Isaiah,Livers,PF,25,DET,12,1,262,21,71,0.296,12,48,0.25,9,23,0.391,0.38,8,11,0.727,6,22,28,15,8,2,10,21,62
23-24,Chris,Livingston,SF,20,MIL,5,0,21,3,4,0.75,1,1,1,2,3,0.667,0.875,0,0,,1,4,5,1,1,0,1,2,7
